漢方名,ひらがな,フリガナ,検索用,配合生薬
蘇子降気湯,そしこうきとう,ソシコウキトウ,蘇子降気湯(そしこうきとう),紫蘇子、半夏、陳皮、厚朴、前胡、桂皮、当帰、大棗、生姜、甘草
大黄甘草湯,だいおうかんぞうとう,ダイオウカンゾウトウ,大黄甘草湯(だいおうかんぞうとう),大黄、甘草
大黄牡丹皮湯,だいおうぼたんぴとう,ダイオウボタンピトウ,大黄牡丹皮湯(だいおうぼたんぴとう),大黄、牡丹皮、桃仁、芒硝、冬瓜子
大建中湯,だいけんちゅうとう,ダイケンチュウトウ,大建中湯(だいけんちゅうとう),人参、山椒、乾姜、膠飴
大柴胡湯,だいさいことう,ダイサイコトウ,大柴胡湯(だいさいことう),柴胡、黄芩、芍薬、半夏、枳実、大黄、大棗、生姜
大承気湯,だいじょうきとう,ダイジョウキトウ,大承気湯(だいじょうきとう),大黄、芒硝、枳実、厚朴
大半夏湯,だいはんげとう,ダイハンゲトウ,大半夏湯(だいはんげとう),半夏、人参、蜂蜜
大防風湯,だいぼうふうとう,ダイボウフウトウ,大防風湯(だいぼうふうとう),地黄、当帰、芍薬、川芎、人参、甘草、白朮、乾姜、黄耆、大棗、牛膝、杜仲、羌活、附子、防風
竹茹温胆湯,ちくじょうんたんとう,チクジョウンタントウ,竹茹温胆湯(ちくじょうんたんとう),柴胡、竹茹、茯苓、麦門冬、生姜、半夏、香附子、桔梗、陳皮、枳実、黄連、甘草、人参
治打撲一方,ちだぼくいっぽう,チダボクイッポウ,治打撲一方(ちだぼくいっぽう),川芎、樸樕、川骨、大黄、桂皮、丁子、甘草
治頭瘡一方,ちづそういっぽう,チヅソウイッポウ,治頭瘡一方(ちづそういっぽう),連翹、蒼朮、川芎、防風、忍冬、荊芥、甘草、紅花、大黄
知柏地黄丸,ちばくじおうがん,チバクジオウガン,知柏地黄丸(ちばくじおうがん),知母、黄柏、地黄、山茱萸、山薬、沢瀉、茯苓、牡丹皮
調胃承気湯,ちょういじょうきとう,チョウイジョウキトウ,調胃承気湯(ちょういじょうきとう),大黄、芒硝、甘草
釣藤散,ちょうとうさん,チョウトウサン,釣藤散(ちょうとうさん),釣藤鈎、陳皮、菊花、防風、半夏、麦門冬、茯苓、人参、生姜、甘草、石膏
猪苓湯,ちょれいとう,チョレイトウ,猪苓湯(ちょれいとう),猪苓、茯苓、沢瀉、滑石、阿膠
通導散,つうどうさん,ツウドウサン,通導散(つうどうさん),大黄、芒硝、枳実、厚朴、陳皮、当帰、木通、紅花、蘇木、甘草
天王補心丹,てんのうほしんたん,テンノウホシンタン,天王補心丹(てんおうほしんたん),当帰、地黄、天門冬、麦門冬、酸棗仁、遠志、柏子仁、茯苓、桔梗、丹参、党参
桃核承気湯,とうかくじょうきとう,トウカクジョウキトウ,桃核承気湯(とうかくじょうきとう),桃仁、大黄、桂皮、芒硝、甘草
